runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-zh-29BT,6,13000,27.262976,0.533,0.533,0.533,0.542
1p46G-gemma-helios-zh-29BT,6,13500,28.311552,0.541,0.541,0.541,0.555
1p46G-gemma-helios-zh-29BT,6,14000,29.360128,0.548,0.548,0.548,0.56
1p46G-gemma-helios-zh-29BT,6,1500,3.145728,0.518,0.518,0.518,0.505
1p46G-gemma-helios-zh-29BT,6,2000,4.194304,0.51,0.51,0.51,0.498
1p46G-gemma-helios-zh-29BT,6,2500,5.24288,0.514,0.514,0.514,0.52
1p46G-gemma-helios-zh-29BT,6,3000,6.291456,0.554,0.554,0.554,0.544
1p46G-gemma-helios-zh-29BT,6,3500,7.340032,0.554,0.554,0.554,0.539
1p46G-gemma-helios-zh-29BT,6,4000,8.388608,0.538,0.538,0.538,0.539
1p46G-gemma-helios-zh-29BT,6,4500,9.437184,0.551,0.551,0.551,0.536
1p46G-gemma-helios-zh-29BT,6,500,1.048576,0.539,0.539,0.539,0.516
1p46G-gemma-helios-zh-29BT,6,5000,10.48576,0.534,0.534,0.534,0.517
1p46G-gemma-helios-zh-29BT,6,5500,11.534336,0.525,0.525,0.525,0.521
1p46G-gemma-helios-zh-29BT,6,6000,12.582912,0.541,0.541,0.541,0.52
1p46G-gemma-helios-zh-29BT,6,6500,13.631488,0.535,0.535,0.535,0.538
1p46G-gemma-helios-zh-29BT,6,7000,14.680064,0.544,0.544,0.544,0.533
1p46G-gemma-helios-zh-29BT,6,7500,15.72864,0.535,0.535,0.535,0.531
1p46G-gemma-helios-zh-29BT,6,8000,16.777216,0.547,0.547,0.547,0.534
1p46G-gemma-helios-zh-29BT,6,8500,17.825792,0.547,0.547,0.547,0.556
1p46G-gemma-helios-zh-29BT,6,9000,18.874368,0.539,0.539,0.539,0.535
1p46G-gemma-helios-zh-29BT,6,9500,19.922944,0.543,0.543,0.543,0.559
